experiment_name,best_val_accuracy,best_train_accuracy,final_val_loss,epochs_trained,training_time,rotation,zoom,translation,brightness,contrast,noise
trans15pct_cont40pct_noise8pct,0.5932203531265259,1.0,3.4404962062835693,17,211.36593055725098,0.0,0.0,0.15,0.0,0.4,0.08
trans15pct_cont40pct_noise5pct,0.5932203531265259,1.0,6.310850620269775,10,126.19357109069824,0.0,0.0,0.15,0.0,0.4,0.05
bright30pct_cont30pct_noise5pct,0.5932203531265259,1.0,5.444538593292236,10,122.1666738986969,0.0,0.0,0.0,0.3,0.3,0.05
zoom15pct,0.5932203531265259,1.0,4.377468109130859,9,103.86398720741272,0.0,0.15,0.0,0.0,0.0,0.0
bright40pct_cont30pct_noise8pct,0.5932203531265259,1.0,2.241325855255127,17,203.70308566093445,0.0,0.0,0.0,0.4,0.3,0.08
trans10pct_cont30pct_noise8pct,0.5932203531265259,1.0,6.665448188781738,12,149.7357153892517,0.0,0.0,0.1,0.0,0.3,0.08
trans15pct_bright30pct_noise5pct,0.5932203531265259,0.9988541007041931,3.6075825691223145,9,112.46811413764954,0.0,0.0,0.15,0.3,0.0,0.05
trans10pct_bright20pct_cont30pct_noise8pct,0.5932203531265259,1.0,2.1582891941070557,22,281.5874836444855,0.0,0.0,0.1,0.2,0.3,0.08
trans15pct_bright20pct_cont40pct_noise5pct,0.5932203531265259,1.0,5.668721675872803,11,143.390625,0.0,0.0,0.15,0.2,0.4,0.05
trans15pct_bright20pct_cont30pct_noise5pct,0.5932203531265259,1.0,9.011303901672363,14,179.09703087806702,0.0,0.0,0.15,0.2,0.3,0.05
trans15pct_bright20pct_cont30pct,0.5762711763381958,0.9988541007041931,5.016541004180908,9,114.27259945869446,0.0,0.0,0.15,0.2,0.3,0.0
trans15pct_bright30pct_cont20pct,0.5762711763381958,1.0,4.186568737030029,16,198.76919436454773,0.0,0.0,0.15,0.3,0.2,0.0
bright20pct_cont30pct_noise5pct,0.5762711763381958,1.0,4.491544723510742,8,99.27201342582703,0.0,0.0,0.0,0.2,0.3,0.05
trans10pct_bright30pct_cont40pct,0.5762711763381958,1.0,3.7587006092071533,13,165.82205390930176,0.0,0.0,0.1,0.3,0.4,0.0
bright30pct_cont20pct_noise8pct,0.5762711763381958,1.0,3.174051523208618,11,137.04072833061218,0.0,0.0,0.0,0.3,0.2,0.08
cont20pct_noise8pct,0.5762711763381958,1.0,3.8917319774627686,11,130.28892064094543,0.0,0.0,0.0,0.0,0.2,0.08
cont40pct_noise8pct,0.5762711763381958,1.0,4.489287376403809,10,119.19104337692261,0.0,0.0,0.0,0.0,0.4,0.08
